iShares Russell 1000 ETF
Fund Holdings as of,"Apr 27, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"117,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","3,557,118,733.26","7.73","3,557,118,733.26","16,421,766.00","216.61","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","2,705,119,360.79","5.88","2,705,119,360.79","10,108,439.00","267.61","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","2,210,679,590.46","4.80","2,210,679,590.46","5,203,803.00","424.82","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1,757,532,134.40","3.82","1,757,532,134.40","6,730,745.00","261.12","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1,428,902,679.78","3.11","1,428,902,679.78","4,078,617.00","350.34","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","1,355,169,154.20","2.94","1,355,169,154.20","3,240,481.00","418.20","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","1,157,430,040.72","2.52","1,157,430,040.72","3,320,986.00","348.52","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","1,039,642,446.90","2.26","1,039,642,446.90","1,531,995.00","678.62","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","749,699,954.08","1.63","749,699,954.08","1,979,824.00","378.67","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","611,884,224.64","1.33","611,884,224.64","1,294,144.00","472.81","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","594,001,370.93","1.29","594,001,370.93","1,906,111.00","311.63","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","488,071,064.13","1.06","488,071,064.13","562,119.00","868.27","United States","NYSE","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","439,286,285.55","0.95","439,286,285.55","2,964,345.00","148.19","United States","NYSE","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","411,247,171.60","0.89","411,247,171.60","783,985.00","524.56","United States","NASDAQ","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","389,495,268.90","0.85","389,495,268.90","3,052,710.00","127.59","United States","NASDAQ","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","380,485,012.62","0.83","380,485,012.62","1,688,493.00","225.34","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","377,907,028.64","0.82","377,907,028.64","1,129,328.00","334.63","United States","NASDAQ","USD","1.00","USD","-"
