iShares Russell 1000 ETF
Fund Holdings as of,"May 07, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"117,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","3,477,631,684.50","7.39","3,477,631,684.50","16,442,703.00","211.50","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","2,909,274,232.88","6.18","2,909,274,232.88","10,121,327.00","287.44","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","2,192,396,418.03","4.66","2,192,396,418.03","5,210,439.00","420.77","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1,827,502,760.25","3.89","1,827,502,760.25","6,739,325.00","271.17","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1,625,317,929.84","3.46","1,625,317,929.84","4,083,816.00","397.99","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","1,338,597,126.72","2.85","1,338,597,126.72","3,244,612.00","412.56","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","1,314,459,070.70","2.79","1,314,459,070.70","3,325,219.00","395.30","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","946,154,465.88","2.01","946,154,465.88","1,533,948.00","616.81","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","816,310,671.13","1.74","816,310,671.13","1,982,347.00","411.79","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","615,605,813.52","1.31","615,605,813.52","1,295,794.00","475.08","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","584,528,852.07","1.24","584,528,852.07","1,908,541.00","306.27","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","548,742,586.56","1.17","548,742,586.56","562,836.00","974.96","United States","NYSE","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","507,594,203.92","1.08","507,594,203.92","784,984.00","646.63","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","461,873,497.28","0.98","461,873,497.28","1,130,768.00","408.46","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","435,067,762.50","0.92","435,067,762.50","2,968,125.00","146.58","United States","NYSE","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","397,969,450.20","0.85","397,969,450.20","3,056,601.00","130.20","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","379,957,294.08","0.81","379,957,294.08","1,182,636.00","321.28","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","376,185,863.97","0.80","376,185,863.97","1,690,647.00","222.51","United States","NYSE","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","339,898,953.24","0.72","339,898,953.24","3,100,702.00","109.62","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","315,604,838.64","0.67","315,604,838.64","311,844.00","1,012.06","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","291,184,340.55","0.62","291,184,340.55","325,095.00","895.69","United States","NYSE","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","283,150,323.72","0.60","283,150,323.72","565,238.00","500.94","United States","NYSE","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","262,761,021.50","0.56","262,761,021.50","2,977,462.00","88.25","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","257,557,616.64","0.55","257,557,616.64","2,794,679.00","92.16","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","252,653,049.48","0.54","252,653,049.48","881,799.00","286.52","United States","NASDAQ","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","252,350,435.64","0.54","252,350,435.64","1,244,884.00","202.71","United States","NYSE","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","243,393,194.75","0.52","243,393,194.75","4,614,089.00","52.75","United States","NYSE","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","241,114,533.46","0.51","241,114,533.46","1,650,791.00","146.06","United States","NYSE","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","240,243,547.50","0.51","240,243,547.50","1,316,403.00","182.50","United States","NYSE","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","236,316,363.08","0.50","236,316,363.08","639,142.00","369.74","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","230,078,740.43","0.49","230,078,740.43","1,182,377.00","194.59","United States","NYSE","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","228,856,242.24","0.49","228,856,242.24","557,316.00","410.64","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","225,684,744.16","0.48","225,684,744.16","699,494.00","322.64","United States","NYSE","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","221,030,965.21","0.47","221,030,965.21","730,367.00","302.63","United States","NYSE","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","214,163,154.04","0.46","214,163,154.04","2,730,628.00","78.43","United States","NYSE","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","210,205,234.25","0.45","210,205,234.25","1,533,785.00","137.05","United States","NASDAQ","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","198,307,912.02","0.42","198,307,912.02","189,654.00","1,045.63","United States","NYSE","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","196,074,227.80","0.42","196,074,227.80","1,745,986.00","112.30","United States","NYSE","USD","1.00","USD","-"
