iShares Russell 1000 ETF
Fund Holdings as of,"Apr 24, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"117,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","3,423,068,237.48","7.44","3,423,068,237.48","16,435,724.00","208.27","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","2,742,322,422.86","5.96","2,742,322,422.86","10,117,031.00","271.06","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","2,211,517,348.74","4.81","2,211,517,348.74","5,208,227.00","424.62","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1,778,359,395.35","3.87","1,778,359,395.35","6,736,465.00","263.99","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1,405,869,385.20","3.06","1,405,869,385.20","4,082,083.00","344.40","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","1,371,110,028.60","2.98","1,371,110,028.60","3,243,235.00","422.76","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","1,137,805,954.56","2.47","1,137,805,954.56","3,323,808.00","342.32","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","1,035,021,473.91","2.25","1,035,021,473.91","1,533,297.00","675.03","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","745,640,707.80","1.62","745,640,707.80","1,981,506.00","376.30","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","607,883,914.08","1.32","607,883,914.08","1,295,244.00","469.32","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","588,115,312.68","1.28","588,115,312.68","1,907,731.00","308.28","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","497,313,244.12","1.08","497,313,244.12","562,597.00","883.96","United States","NYSE","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","441,795,867.15","0.96","441,795,867.15","2,966,865.00","148.91","United States","NYSE","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","396,945,095.68","0.86","396,945,095.68","3,055,304.00","129.92","United States","NASDAQ","USD","1.00","USD","-"
